yr.si,Year,Site,Initial dominance,Transect,Acropora,Isopora,Montipora,Pocillopora,Seriatopora,Stylophora,Porites - branching,Porites - massive,Goniopora,Favia (plocoid),Favites (ceriod),Goniastrea,Echinopora,Galaxea,Encrust,Turbinaria,Hydonophora,Lobophyllia,Symphyllia,Millepora,Coral,Palythoa,Sinularia,Sarcophyton,Sargassaceae,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Macroalgae,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
13.TNB,2013,Turtle North - Back,Coral,1,27,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,31,0,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,4,48,0,0,0,0,0,4,0
13.TNB,2013,Turtle North - Back,Coral,2,21,3,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,31,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,9,46,0,0,0,0,0,5,0
13.TNB,2013,Turtle North - Back,Coral,3,13,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,21,0,0,13,47,0,0,0,0,0,2,0
13.TNB,2013,Turtle North - Back,Coral,4,32,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,40,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,46,0,0,0,0,0,6,0
14.TNB,2014,Turtle North - Back,Coral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,41.93548387,0,0,0,0,0,80.64516129,3.225806452,0,16.12903226,0,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,Coral,2,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03030303,0,0,0,0,0,0,27.27272727,0,0,0,0,12.12121212,0,0,0,0,0,0,0,0,0,0,0,51.51515152,0,0,0,0,0,90.90909091,0,0,3.03030303,3.03030303,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,Coral,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,56.25,0,0,0,0,0,96.875,0,0,3.125,0,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,Coral,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,48.38709677,0,0,0,0,0,67.74193548,0,0,29.03225806,3.225806452,0,0,0,0,0,0,0
15.TNB,2015,Turtle North - Back,Coral,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,10,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,6,8,0,0,0,0,2,32,14,0,30,0,4,14,0,0,0,0,0
15.TNB,2015,Turtle North - Back,Coral,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,6,4,54,20,0,18,0,0,8,0,0,0,0,0
